regime,T_K,P_CO_bar,P_H2_bar,product,TOF_site-1_s-1,n_CO,n_H2,Eapp_eV,Eapp_kJ_mol,max_perturbed_residual
low_activity,573.0,10.0,5.0,CH4,9.339147442331568e-15,-1.397055355926824,0.1338567288833303,3.931317015805825,379.3144279520056,6.557459051058322e-15
low_activity,573.0,10.0,5.0,CH3OH,4.32665250575599e-14,-1.0148544563609363,1.9708544392479157,2.5697606526180308,247.9442100452389,6.557459051058322e-15
low_activity,573.0,10.0,5.0,C2H5OH,5.8276885504121626e-15,-0.3991857060313464,1.1297204021978755,2.677732580989541,258.3619174141572,6.557459051058322e-15
intermediate_activity,623.0,10.0,10.0,CH4,4.992554350781677e-12,-1.1427788409793749,0.4027165661305787,3.593805701647088,346.74953671002845,6.0171280273045376e-15
intermediate_activity,623.0,10.0,10.0,CH3OH,1.0857864777509056e-11,-1.004182383587349,1.99219535721582,2.540727639502172,245.14295013221505,6.0171280273045376e-15
intermediate_activity,623.0,10.0,10.0,C2H5OH,8.149228303253925e-13,-0.1507662487544081,1.397645017389593,2.349505605902877,226.69282871109428,6.0171280273045376e-15
high_activity,673.0,10.0,10.0,CH4,6.361511686672637e-10,-1.028417664469217,0.5008339117509308,3.4463036988400684,332.51775698034123,5.511056269456131e-15
high_activity,673.0,10.0,10.0,CH3OH,3.6141210339108094e-10,-1.000477001070621,1.998417382249684,2.5271194912392563,243.82996342748456,5.511056269456131e-15
high_activity,673.0,10.0,10.0,C2H5OH,1.868983610266037e-11,-0.044988400371082,1.5014327686525777,2.212647373145038,213.4880166696463,5.511056269456131e-15
