T_K,P_CO_bar,P_H2_bar,CO_cov,H_cov,vacancy,CH4_TOF,MeOH_TOF,EtOH_TOF,PrOH_TOF,CO2_TOF,S_CH4,S_MeOH,S_EtOH,S_PrOH,max_rel_residual,max_abs_balance,success
523.0,1.0,0.5,0.9991590930163853,5.344130996305155e-11,7.976391844831555e-14,5.581048202518302e-17,3.177618326961187e-17,3.993472773097838e-18,1.4770643594029375e-38,5.980311912231165e-17,0.5839528457079751,0.33247863076429235,0.08356852352773257,4.636419027404077e-22,4.108043306407405e-15,2.5168059063595927e-25,True
523.0,1.0,1.0,0.9976543156830923,7.546360242968975e-11,7.964379049538535e-14,7.44405502480504e-17,1.2671979524513436e-16,1.0653679735875645e-17,2.638784122691557e-305,8.509093739623188e-17,0.33461283856811147,0.5696098463599789,0.09577731507190951,3.558427669005888e-289,5.127611361812047e-15,4.271771337319012e-24,True
523.0,1.0,2.0,0.9934423175614079,1.0627108174121548e-10,7.930754226721957e-14,9.448807898693096e-17,5.025889448072579e-16,2.7037076519123605e-17,1.1269675438617356e-38,1.2151219127519267e-16,0.14510928083793673,0.7718467887167645,0.08304393044529869,5.192193075702958e-23,2.4372667026520356e-15,4.9322295480547825e-24,True
523.0,1.0,5.0,0.9746319399576342,1.6484777498500696e-10,7.780589009224925e-14,1.1394476451607896e-16,3.022990277360126e-15,8.137629817707457e-17,3.362848656770066e-38,1.952432629065018e-16,0.03453198514789974,0.9161443775270126,0.04932363732508769,3.057424543288212e-23,4.740268317227187e-15,1.3453729928533407e-23,True
523.0,1.0,10.0,0.931110378442764,2.2271969094657632e-10,7.433151818523352e-14,1.138119615572236e-16,1.1033815498640967e-14,1.6207556088372604e-16,2.462775859637539e-305,2.756020735158775e-16,0.009921038899420807,0.9618225648102048,0.02825639629037454,6.440437745658318e-291,4.60855685257173e-15,8.043944200502774e-24,True
523.0,3.0,0.5,0.9980682480677525,1.7794321572368424e-11,2.655894505061363e-14,1.6383394517439347e-17,1.056894436110583e-17,3.5116788684349074e-18,8.799599629369847e-306,1.9894860278511245e-17,0.4822092304063633,0.31107366188072894,0.2067171077129077,7.769906585559819e-289,2.8438166879429696e-14,9.589054184788968e-25,True
523.0,3.0,1.0,0.9945715571793123,2.5076806464594486e-11,2.6465896883471897e-14,1.9741379126665206e-17,4.1979283347928184e-17,8.45928643568851e-18,8.768768755374081e-306,2.819982145202348e-17,0.2510372721684505,0.5338211029550565,0.21514162487649308,3.34518846100024e-289,2.4356518892219725e-14,1.4452320187377745e-24,True
523.0,3.0,2.0,0.9847821991385639,3.511489552771786e-11,2.62053986432079e-14,2.146015817270904e-17,1.6462152681222743e-16,1.837497807814092e-17,8.682452269696113e-306,3.9831822424656114e-17,0.0963066019834624,0.7387708763850976,0.16492252163143994,1.1689254127326096e-289,4.085496146518637e-15,2.927446060254096e-24,True
523.0,3.0,5.0,0.9418632331472517,5.310177512797237e-11,2.5063309951779018e-14,1.9427279285101235e-17,9.41043654667785e-16,4.147902077833263e-17,5.5019162330022063e-39,6.088715479132542e-17,0.018618688709132365,0.9018760996245411,0.07950521166632665,1.5818756318268957e-23,3.928633295046736e-15,4.5306650341710634e-24,True
523.0,3.0,10.0,0.8488321949752852,6.76796394596378e-11,2.258772149818955e-14,1.4588352791245204e-17,3.0566499443387836e-15,6.206093672568154e-17,7.483833557728255e-306,7.658584080898027e-17,0.0045654799498207645,0.9565901122760223,0.03884440777415688,7.02628169427916e-291,3.862524288580601e-15,1.4626581643760342e-24,True
523.0,10.0,0.5,0.9963472948118657,5.329091731742428e-12,7.953944964825557e-15,3.471088255625557e-18,3.1597575500875086e-18,2.47872752212993e-18,2.635334119667152e-306,5.949779580500613e-18,0.29953384025524904,0.27266789074559544,0.42779826899915546,6.822399988881827e-289,2.023600644672377e-14,5.8884412877401585e-25,True
523.0,10.0,1.0,0.9897135634556101,7.48629557330661e-12,7.900987191573352e-15,3.4535101456186262e-18,1.2471052447059414e-17,4.929416274414468e-18,2.0469721409348235e-40,8.382783161781285e-18,0.13394318811253253,0.4836854253915961,0.3823713864958713,2.3817330452802225e-23,4.912107844896115e-15,9.399247010383935e-26,True
523.0,10.0,2.0,0.9712362267901731,1.0389563905492496e-11,7.753480674820887e-15,3.0216394380061637e-18,4.803713629356651e-17,8.616391741490066e-18,1.0510821865128993e-39,1.1637475196911467e-17,0.044246162670162875,0.7034124984999593,0.2523413388298778,4.617329865953254e-23,3.6501759073498096e-15,8.460851110586896e-25,True
523.0,10.0,5.0,0.8928683676875406,1.510184078044725e-11,7.12786183532653e-15,2.0307794353435724e-18,2.5370564202106433e-16,1.4435373745593107e-17,9.230486487651256e-33,1.6463146541429803e-17,0.007135376957835899,0.8914239334139195,0.10144068962824437,9.729712559718656e-17,1.772273765121919e-12,1.7339880069069455e-24,True
523.0,10.0,10.0,0.7388886283784848,1.76740642963966e-11,5.898625424950488e-15,1.1550053372183926e-18,6.948342342109854e-16,1.6354165791962406e-17,3.946993567550185e-39,1.7500585093062904e-17,0.0015850270166592405,0.9535289559583243,0.044886017025016385,1.6249513065144455e-23,4.876305847388883e-15,5.807600161296274e-25,True
573.0,0.1,0.5,0.9999673998551473,1.136487071427755e-08,5.707519292794001e-11,4.689759103758913e-13,4.412111973468751e-14,3.1293300408568535e-16,5.820348824604538e-35,4.692713313955007e-13,0.9128966489893118,0.08588505606432743,0.001218294946360923,3.398923155992134e-22,3.7748228753078154e-15,7.909352856544602e-22,True
573.0,0.1,1.0,0.9999317486887471,1.6071781281890136e-08,5.707315806440277e-11,6.656627537202596e-13,1.7646986653242387e-13,9.086427094481096e-16,1.689956203856582e-34,6.665192397451556e-13,0.7887467600231003,0.2090999303945613,0.002153309582338421,6.007309885929022e-22,3.967519553425344e-15,3.0415232974780945e-21,True
573.0,0.1,2.0,0.9998540807054893,2.2727165629613055e-08,5.706872500475562e-11,9.482455970904762e-13,7.057534342443143e-13,2.664319769432055e-15,4.954901401335658e-34,9.507515805080461e-13,0.5714637402455985,0.42532493529305593,0.003211324461345553,8.958269343016827e-22,4.00680689514299e-15,3.4246442601915666e-21,True
573.0,0.1,5.0,0.9995845598827298,3.592511748331548e-08,5.7053341550295676e-11,1.5318827334708627e-12,4.408265901467312e-12,1.1287946092302544e-14,2.0986818149498135e-33,1.5424555931471485e-12,0.2569098616752716,0.7393039677441635,0.0037861705805649105,1.0559007742535271e-21,2.4335443316465177e-15,1.1395814122518571e-20,True
573.0,0.1,10.0,0.9990449194404895,5.0778360121848014e-08,5.702254046382321e-11,2.244135349188095e-12,1.7611840449781588e-11,3.449737868595244e-14,6.41037280130151e-33,2.2763051916670218e-12,0.11262929311952467,0.8839079786833717,0.0034627281971036936,9.651767539392312e-22,3.924725677693456e-15,9.526192243371985e-20,True
573.0,0.3,0.5,0.9999599168843617,3.78826188950317e-09,1.902492194067168e-11,1.5612607006947666e-13,1.470682003432185e-14,3.002435073122688e-16,1.86143164953978e-35,1.5642390924338086e-13,0.9107098786348217,0.0857873786395904,0.0035027427255879826,3.257414070984445e-22,4.959455113691351e-15,5.578197619065452e-22,True
573.0,0.3,1.0,0.999910545891707,5.357146830638061e-09,1.9023982623739542e-11,2.213197898643719e-13,5.882079542098914e-14,8.583735080366995e-16,5.32143031547436e-35,2.221705320577136e-13,0.7852192031239401,0.20868996006136467,0.006090836814695355,5.663961556746003e-22,3.8883925774833045e-15,2.301482695211704e-22,True
573.0,0.3,2.0,0.9997940030815026,7.575266678745218e-09,1.9021765316996094e-11,3.1445831850825005e-13,2.3522288007032466e-13,2.4652179976422417e-15,1.5281177334032342e-34,3.168985951398255e-13,0.5669883192224535,0.4241217915506952,0.008889889226851196,8.265879967938522e-22,3.599959594739364e-15,1.1182955274414906e-21,True
573.0,0.3,5.0,0.9993467327602465,1.1972189988339183e-08,1.9013255692955574e-11,5.040592499828929e-13,1.4687228506978955e-12,1.0052499248538093e-14,6.228467952925756e-34,5.139863868012058e-13,0.25292915498867696,0.7369824669464693,0.01008837806485385,9.37604737693653e-22,4.384376415650815e-15,8.862925627911366e-21,True
573.0,0.3,10.0,0.9983723228895255,1.691472470719407e-08,1.8994716878133428e-11,7.289166773126605e-13,5.862711492835471e-12,2.9507663206396624e-14,1.826584020429577e-33,7.57982505234163e-13,0.10960092473601785,0.8815254487580191,0.008873626505962967,8.2394313634798395e-22,4.206174778943645e-15,4.094168165790787e-20,True
573.0,1.0,0.5,0.9999341754854795,1.1364493111301801e-09,5.7073296578810056e-12,4.663197467180127e-14,4.411818838136532e-15,2.9401053190436596e-16,5.468227165332606e-36,4.6925627919174403e-14,0.9031635834761547,0.08544768132901975,0.01138873519482551,3.1772428746556547e-22,3.228193934954343e-15,8.093768324228435e-23,True
573.0,1.0,1.0,0.9998377735800367,1.6070270831406776e-09,5.706779424208131e-12,6.581339402464374e-14,1.7643669917977638e-14,8.317607433896505e-16,1.5468215794164267e-35,6.664390375079207e-14,0.7731783527173883,0.20727853114463554,0.019543116137976185,5.45163630494306e-22,3.038291089683119e-15,9.947276479599141e-23,True
573.0,1.0,2.0,0.9995881178409555,2.272112016538959e-09,5.7053544628068205e-12,9.269274086242429e-14,7.053780116180377e-14,2.3490761943315656e-15,4.3674753402013764e-35,9.503731457909322e-14,0.5519767850663921,0.4200461476129292,0.02797706732067866,7.802374731973328e-22,5.119300940007453e-15,3.61703349280757e-22,True
