regime,code,type,X_EtOH,residual_low,residual_high
intermediate_activity,S27,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S28,surface_TS,-0.0070019585353561,4.248663438422376e-15,4.497185977583407e-15
intermediate_activity,S29,surface_TS,0.000784865351694,4.528718723483941e-15,3.786039953140941e-15
intermediate_activity,S30,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S31,surface_TS,7.2477756293672514e-12,5.300377854089776e-15,4.673633416279429e-15
intermediate_activity,S32,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S33,surface_TS,0.0034981446687328,7.663284857852955e-15,6.436848273738534e-15
intermediate_activity,S34,surface_TS,7.852773686654458e-05,4.252902222758116e-15,5.980072433319338e-15
intermediate_activity,S35,surface_TS,0.4755085549448133,5.153223391798786e-15,5.2445733597631375e-15
intermediate_activity,S36,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S37,surface_TS,0.0008630419677814,5.202667431683354e-15,5.0950144724724935e-15
intermediate_activity,S39,surface_TS,3.440319434115139e-05,3.3542079472703232e-15,4.0131458625901326e-15
intermediate_activity,S40,surface_TS,0.0071250022232416,7.589121604244401e-15,4.549297544701369e-15
intermediate_activity,S41,surface_TS,5.825658417230444e-05,4.42450289342841e-15,5.505384822787501e-15
intermediate_activity,S42,surface_TS,0.8517959214194303,5.214330051378394e-15,3.857339164503888e-15
intermediate_activity,S43,surface_TS,2.47950218899406e-12,5.7438877199408086e-15,5.224658340501045e-15
intermediate_activity,S44,surface_TS,-1.9073093761492765e-12,4.6763707044200466e-15,4.037988403944968e-15
intermediate_activity,S45,surface_TS,7.629237504597108e-13,7.535360953720607e-15,7.760538386108878e-15
high_activity,S1,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S2,surface_TS,1.0110293813968635e-07,6.3219432703656305e-15,5.608343417364909e-15
high_activity,S3,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S4,surface_TS,4.2647166555601115e-08,3.4331194422891416e-15,4.387973887511066e-15
high_activity,S5,surface_TS,0.0007462843097538,5.505130673606278e-15,3.445018605210663e-15
high_activity,S6,surface_TS,7.91000174232744e-06,5.488407033359515e-15,4.384565071594235e-15
high_activity,S7,surface_TS,3.13056995751192e-06,3.420249190637337e-15,2.7755026037963653e-15
high_activity,S8,surface_TS,2.9647895063292638e-09,5.4749727565922015e-15,4.667868929159975e-15
high_activity,S9,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S10,surface_TS,5.109752233014749e-11,4.021242079552179e-15,6.269277005440329e-15
high_activity,S11,surface_TS,1.7983010642028388e-06,8.646464678180062e-15,3.3279325532379285e-15
high_activity,S12,surface_TS,-1.0364042461552974e-05,4.660001400643569e-15,3.522498539971811e-15
high_activity,S13,surface_TS,4.4825816560113124e-08,5.502364312671298e-15,5.015421611440841e-15
high_activity,S14,surface_TS,0.0291757053338578,4.3595116011646784e-15,5.576078711914199e-15
high_activity,S15,surface_TS,0.0,3.361596120572109e-15,3.504642764000709e-15
high_activity,S16,surface_TS,-8.241535859701209e-13,2.995961792303327e-15,5.102651584561194e-15
high_activity,S17,surface_TS,2.6295046865895843e-05,4.500070275549858e-15,5.450298319569423e-15
high_activity,S18,surface_TS,3.821837740414606e-06,3.797785311164135e-15,4.392277982855091e-15
high_activity,S19,surface_TS,1.3392495772014464e-12,5.498546589893853e-15,5.528892589821537e-15
high_activity,S20,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S21,surface_TS,0.4843355432256427,6.136426402190137e-15,4.891743592563014e-15
high_activity,S22,surface_TS,8.646883737412498e-05,8.734848358287983e-15,5.587502074764596e-15
high_activity,S23,surface_TS,8.618849772014691e-05,4.4013951192140304e-15,3.9046398463992526e-15
high_activity,S24,surface_TS,-0.0009922208965657,4.953883215164085e-15,4.901351535302494e-15
