regime,T_K,P_CO_bar,P_H2_bar,code,net_flux_site-1_s-1
intermediate_activity,623.0,10.0,10.0,S34,8.819454324149417e-16
intermediate_activity,623.0,10.0,10.0,S35,5.796902360580977e-12
intermediate_activity,623.0,10.0,10.0,S36,3.970466940254533e-23
intermediate_activity,623.0,10.0,10.0,S37,9.692875094693714e-15
intermediate_activity,623.0,10.0,10.0,S39,5.730267770587805e-12
intermediate_activity,623.0,10.0,10.0,S40,7.43483944928459e-13
intermediate_activity,623.0,10.0,10.0,S41,8.149228303520289e-13
intermediate_activity,623.0,10.0,10.0,S42,8.149228303253933e-13
intermediate_activity,623.0,10.0,10.0,S43,3.614530426243833e-32
intermediate_activity,623.0,10.0,10.0,S44,3.6145304009890713e-32
intermediate_activity,623.0,10.0,10.0,S45,3.6145303836787405e-32
intermediate_activity,623.0,10.0,10.0,D1,4.992554350781677e-12
intermediate_activity,623.0,10.0,10.0,D2,1.0857864777509056e-11
intermediate_activity,623.0,10.0,10.0,D3,8.149228303253925e-13
intermediate_activity,623.0,10.0,10.0,D4,3.614530383678727e-32
intermediate_activity,623.0,10.0,10.0,D5,8.819454324149439e-16
intermediate_activity,623.0,10.0,10.0,D6,5.806595235675662e-12
high_activity,673.0,10.0,10.0,S1,5.018119533230884e-28
high_activity,673.0,10.0,10.0,S2,-1.2992960928020631e-14
high_activity,673.0,10.0,10.0,S3,2.4240727041773353e-22
high_activity,673.0,10.0,10.0,S4,5.425037973219288e-17
high_activity,673.0,10.0,10.0,S5,9.829642800784545e-13
high_activity,673.0,10.0,10.0,S6,3.794843610966455e-10
high_activity,673.0,10.0,10.0,S7,4.001120969018525e-10
high_activity,673.0,10.0,10.0,S8,3.625097728509469e-10
high_activity,673.0,10.0,10.0,S9,-8.999725064576941e-22
high_activity,673.0,10.0,10.0,S10,-5.7517126473704545e-15
high_activity,673.0,10.0,10.0,S11,3.748837821422569e-11
high_activity,673.0,10.0,10.0,S12,3.614121033910763e-10
high_activity,673.0,10.0,10.0,S13,-5.7517126474901405e-15
high_activity,673.0,10.0,10.0,S14,3.7488378213529016e-11
high_activity,673.0,10.0,10.0,S15,-2.1265993745024142e-24
high_activity,673.0,10.0,10.0,S16,1.2293509358593039e-29
high_activity,673.0,10.0,10.0,S17,6.166495943530487e-10
high_activity,673.0,10.0,10.0,S18,-4.898383466750481e-13
high_activity,673.0,10.0,10.0,S19,-1.2992960902271992e-14
high_activity,673.0,10.0,10.0,S20,8.340410190626409e-24
high_activity,673.0,10.0,10.0,S21,6.161410112826284e-10
high_activity,673.0,10.0,10.0,S22,1.1389195346506736e-13
high_activity,673.0,10.0,10.0,S23,1.147047898383561e-13
high_activity,673.0,10.0,10.0,S24,3.6866722026983206e-11
high_activity,673.0,10.0,10.0,S25,-6.36151168667266e-10
high_activity,673.0,10.0,10.0,S26,6.167627217194868e-10
high_activity,673.0,10.0,10.0,S27,9.693522803355792e-27
high_activity,673.0,10.0,10.0,S28,-5.779407399680698e-10
high_activity,673.0,10.0,10.0,S29,-2.0132145648760598e-11
high_activity,673.0,10.0,10.0,S30,-6.729509763394955e-23
high_activity,673.0,10.0,10.0,S31,1.2293509357163537e-29
high_activity,673.0,10.0,10.0,S32,1.5177586962125718e-39
high_activity,673.0,10.0,10.0,S33,3.6447905756962943e-11
high_activity,673.0,10.0,10.0,S34,8.889592552961434e-14
high_activity,673.0,10.0,10.0,S35,6.54194410543776e-10
high_activity,673.0,10.0,10.0,S36,0.0
high_activity,673.0,10.0,10.0,S37,5.576983006217573e-13
high_activity,673.0,10.0,10.0,S39,6.167627217195702e-10
high_activity,673.0,10.0,10.0,S40,3.8821981751495294e-11
high_activity,673.0,10.0,10.0,S41,1.868983610265394e-11
high_activity,673.0,10.0,10.0,S42,1.8689836102660405e-11
high_activity,673.0,10.0,10.0,S43,1.2293509904296465e-29
high_activity,673.0,10.0,10.0,S44,1.2293509492873438e-29
high_activity,673.0,10.0,10.0,S45,1.2293509347577213e-29
high_activity,673.0,10.0,10.0,D1,6.361511686672637e-10
high_activity,673.0,10.0,10.0,D2,3.6141210339108094e-10
high_activity,673.0,10.0,10.0,D3,1.868983610266037e-11
high_activity,673.0,10.0,10.0,D4,1.2293509347577262e-29
high_activity,673.0,10.0,10.0,D5,8.889592552961397e-14
high_activity,673.0,10.0,10.0,D6,6.547521088443951e-10
