T_K,rank,cycle_dim,RMS_correction_eV,max_abs_correction_eV,raw_cycle_residual_norm_eV,max_cycle_residual_after_eV,min_reverse_barrier_eV
300,28,17,0.09172662488929942,0.2694802787905005,0.6153209057972927,4.1897541522893295e-16,0.070689834503114
523,28,17,0.09892629985167425,0.2654692532333409,0.6636177936926129,2.935447553520544e-16,0.06978976683230217
573,28,17,0.10120760928659465,0.2651133124068566,0.678921282615194,3.1824577695437535e-16,0.06976207954148714
623,28,17,0.10371353684784664,0.2649211472125871,0.695731555736143,4.006498476713628e-16,0.0697638885523586
673,28,17,0.10643415749362523,0.26487996783631174,0.713982033850994,3.4218870532040427e-16,0.06978823602399112
