Regime,T_K,P_CO_bar,P_H2_bar,CO_cov,H_cov,vacancy,CH4_TOF,MeOH_TOF,EtOH_TOF,PrOH_TOF,CO2_TOF,S_CH4,S_MeOH,S_EtOH,S_PrOH,max_rel_residual,max_abs_balance,success
Low activity,573.0,10.0,5.0,0.9902888460769556,3.55910290790259e-10,5.652276959470559e-13,9.339147442332758e-15,4.326652505756048e-14,5.827688550412945e-15,1.0734220929868344e-35,1.5165168051747078e-14,0.14533138659204603,0.6732931585523977,0.18137545485555617,5.011225772017993e-22,3.2216347901768955e-15,2.7420062274054014e-22,True
Intermediate activity,623.0,10.0,10.0,0.9973206346533524,6.540261254011114e-09,2.031667267579616e-11,4.992554350782044e-12,1.0857864777509082e-11,8.149228303254639e-13,3.614530502683946e-32,5.806595235675101e-12,0.28561091099376906,0.621149902968159,0.09323918603807202,6.203333667411863e-21,2.8948822786380153e-15,1.2078236041732155e-20,True
High activity,673.0,10.0,10.0,0.9993943780569658,5.74405178439119e-08,4.236590285588105e-10,6.361511686672661e-10,3.614121033910796e-10,1.86898361026599e-11,1.2293509358592919e-29,6.547521088443975e-10,0.6146726949473246,0.3492096887024189,0.036117616350256336,3.563532490384605e-20,3.3317092097001934e-15,4.2130769459648045e-19,True
